Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
Anything-V3.0 fp16 [38c1ebe3] (huggingface),"Anime model
Info https://www.bilibili.com/read/cv19603218",model,huggingface,https://huggingface.co/Linaqruf/anything-v3.0/resolve/main/Anything-V3.0-pruned.ckpt,huggingface,https://huggingface.co/Linaqruf/anything-v3.0/resolve/main/Anything-V3.0.vae.pt
Anything-V3.0 fp16 [38c1ebe3] (torrent),"Anime model
Infohttps://www.bilibili.com/read/cv196032188",model,torrent,magnet:?xt=urn:btih:45cd353ac4fa87098db5e3a6a349539710a3a1f5&dn=Anything-V3.0-fp16.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce,,
Anything-V3.0 fp32 [1a7df6b8] (torrent),"Anime model
Infohttps://www.bilibili.com/read/cv196032188",model,torrent,"magnet:?xt=urn:btih:d9db662ab5ace77004b3348c23c9381380c27156&dn=Anything-V3.0-fp32.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce",,
Anything-V3.0 Full EMA [6569e224] (torrent),"Anime model
Infohttps://www.bilibili.com/read/cv196032188",model,torrent,"magnet:?xt=urn:btih:80460036625fb61dce4bc6e7dab744744309a2a0&dn=Anything-V3.0-fullema.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce",,
Cafe Unofficial Instagram TEST Model [50b987ae] (torrent),"Trained on ~140k Instagram images made up of primarily Japanese accounts (mix of cosplay, model, and personal accounts)
While the model can create some realistic Instagram-esque images on its own, for full potential, it is recommended that it be merged with another model (such as berry or anything)",model,torrent,magnet:?xt=urn:btih:eb085b3e22310a338e6ea00172cb887c10c54cbc&dn=cafe-instagram-unofficial-test-epoch-9-140k-images-fp32.ckpt&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Fopentor.org%3A2710&tr=udp%3A%2F%2Ftracker.ccc.de%3A80&tr=udp%3A%2F%2Ftracker.blackunicorn.xyz%3A6969&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969,,
SmirkingFace SF_EB_1.0_ema_vae.ckpt [7f115f17] (generate),"SmirkingFace is a project that aims to finetune the Stable Diffusion model with high quality erotic content and allow it to generate a large variety of erotic content.
In case you're uncertain which model you need, the EB 1.0 EMA model tends to perform well in many cases. EBL 1.0 has been trained for the longest, but will require code for our modified model to work (released on our github).
Note: All our models include the updated MSE VAE released by Stability AI.",model,generate,"https://file192.gofile.io/download/4bce38ba-1c24-47b6-ad0a-f3efa0aa6ff5/SF_EB_1.0_ema_vae.zip",,
SmirkingFace SF_EB_1.0_ema_vae.ckpt [7f115f17] (torrent),"SmirkingFace is a project that aims to finetune the Stable Diffusion model with high quality erotic content and allow it to generate a large variety of erotic content.
In case you're uncertain which model you need, the EB 1.0 EMA model tends to perform well in many cases. EBL 1.0 has been trained for the longest, but will require code for our modified model to work (released on our github).
Note: All our models include the updated MSE VAE released by Stability AI.",model,torrent,"magnet:?xt=urn:btih:a0bcc397b2c3c101755245fd9b26ae1aa8d5d580&dn=SF_EB_1.0_ema_vae.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zemoj.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.lelux.fi%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce",,
SmirkingFace SF_EB_1.0_noema_vae.ckpt [7010a578] (generate),"SmirkingFace is a project that aims to finetune the Stable Diffusion model with high quality erotic content and allow it to generate a large variety of erotic content.
In case you're uncertain which model you need, the EB 1.0 EMA model tends to perform well in many cases. EBL 1.0 has been trained for the longest, but will require code for our modified model to work (released on our github).
Note: All our models include the updated MSE VAE released by Stability AI.",model,generate,https://store10.gofile.io/download/a9ae1716-1492-41d9-b93e-14cb11af6cc4/SF_EB_1.0_noema_vae.zip,,
SmirkingFace SF_EB_1.0_noema_vae.ckpt [7010a578] (torrent),"SmirkingFace is a project that aims to finetune the Stable Diffusion model with high quality erotic content and allow it to generate a large variety of erotic content.
In case you're uncertain which model you need, the EB 1.0 EMA model tends to perform well in many cases. EBL 1.0 has been trained for the longest, but will require code for our modified model to work (released on our github).
Note: All our models include the updated MSE VAE released by Stability AI.",model,torrent,magnet:?xt=urn:btih:3d73f553ce18ec0bae3811edb37a904c5e82c56d&dn=SF_EB_1.0_noema_vae.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zemoj.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.lelux.fi%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce,,
SXD-v0.8 (generate),Hardcore sex act model with realistic tentacle porn as a side project. Made with smirkingface's SD repo. Both pruned and full versions available,model,generate,https://pixeldrain.com/l/hNc8DomC,,
gg1342_testrun1_pruned.ckpt [43076286] [2ccc3e58] (torrent),A test run that was trained on 280 NSFW images (nude solo women) + another 80 SFW images of a few fictional characters.,model,torrent,magnet:?xt=urn:btih:c95e266e15e13cf0e2d69b29338a89a94d736546&dn=gg1342_testrun1_pruned.ckpt&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2F9.rarbg.com%3A2810%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fopentracker.i2p.rocks%3A6969%2Fannounce&tr=https%3A%2F%2Fopentracker.i2p.rocks%3A443%2Fannounce&tr=http%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.tiny-vps.com%3A6969%2Fannounce&tr=udp%3A%2F%2Fzecircle.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fyahor.ftp.sh%3A6969%2Fannounce&tr=udp%3A%2F%2Fvibe.sleepyinternetfun.xyz%3A1738%2Fannounce&tr=udp%3A%2F%2Fv2.iperson.xyz%3A6969%2Fannounce&tr=udp%3A%2F%2Fuploads.gamecoast.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker2.dler.org%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker1.bt.moack.co.kr%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.theoks.net%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.tcp.exchange%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.swateam.org.uk%3A2710%2Fannounce&tr=udp%3A%2F%2Ftracker.publictracker.xyz%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.bt4g.com%3A2095%2Fannounce,,
Pyro's Blowjob Model v1.0 [9b5251e8] (generate),https://rentry.org/pyros-sd-model,model,generate,https://anonfiles.com/6123m6F6y9/pyros-bj-v1-0_ckpt,,
Pyro's Blowjob Model v1.0 [9b5251e8] (mega),https://rentry.org/pyros-sd-model,model,mega,https://mega.nz/file/lLtjCLwb#KgXPDzbTotcb0_quzzBMm6DaDCuSFIaF8CXxw1WsEs8,,
Pyro's POV Cowgirl Model Model A (mega),https://rentry.org/pyros-pov-model,model,mega,https://mega.nz/file/4KlgyBaI#xMEXTND8PZKWQxz4c9usGWr8-Qi2I4E8Po7y72hFXGI,,
Pyro's POV Cowgirl Model Model B (mega),https://rentry.org/pyros-pov-modell,model,mega,https://mega.nz/file/IS10jJCb#pznXciqCN6K__DRoYxcXLtf7LgWZ0lmYFLpl-0Q66rE,,
Easter easter_e5 [da453598] (mega),"General lewd model, ""Easter.ckpt""! Trained on about 180k images from gelbooru and e621.
NSFW and niche content is included. I take no responsibility for the model's outputs!
Model seems better at the front than the back.
Suggested negative prompt: ""Letterbox"".
The name comes from its tendency to mix rabbits and eggs.",model,mega,https://mega.nz/file/1vQVHbBI#W0hrTSMy9CvUxzhWShmtGsUf4AV6ndHze5NPTLqqhKU,,
Easter easter_e5 [da453598] (torrent),"General lewd model, ""Easter.ckpt""! Trained on about 180k images from gelbooru and e621.
NSFW and niche content is included. I take no responsibility for the model's outputs!
Model seems better at the front than the back.
Suggested negative prompt: ""Letterbox"".
The name comes from its tendency to mix rabbits and eggs.",model,torrent,"magnet:?xt=urn:btih:da3395f01a1063d1980c3c2c610c25a7a20ebce8&dn=easter_e5%20%5bda453598%5d%20plus%20tags.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.zemoj.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce",,
Easter easter_e4 [3997b596] (mega),"General lewd model, ""Easter.ckpt""! Trained on about 180k images from gelbooru and e621.
NSFW and niche content is included. I take no responsibility for the model's outputs!
Model seems better at the front than the back.
Suggested negative prompt: ""Letterbox"".
The name comes from its tendency to mix rabbits and eggs.",model,mega,https://mega.nz/file/4vADAYYY#m7K2OVQrEYhmi5e3wUnkdb2xg6ewotysAt7Z0Rras6g,,
Easter easter_e3 [9c5ade34] (mega),"General lewd model, ""Easter.ckpt""! Trained on about 180k images from gelbooru and e621.
NSFW and niche content is included. I take no responsibility for the model's outputs!
Model seems better at the front than the back.
Suggested negative prompt: ""Letterbox"".
The name comes from its tendency to mix rabbits and eggs.
Currently on epoch 3.",model,mega,https://mega.nz/file/l3RRiIzI#hHGR6rYAJ0-weE8kef7bBUq5u2WjI3oTP92A7atTINw,,
Easter easter_e3 [9c5ade34] (torrent),"General lewd model, ""Easter.ckpt""! Trained on about 180k images from gelbooru and e621.
NSFW and niche content is included. I take no responsibility for the model's outputs!
Model seems better at the front than the back.
Suggested negative prompt: ""Letterbox"".
The name comes from its tendency to mix rabbits and eggs.
Currently on epoch 3.",model,torrent,magnet:?xt=urn:btih:79d1adf55ab8336e095215f3d293fa3c29d57528&dn=easter_e3.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.srv00.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.lelux.fi%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce,,
Hentai Diffusion HD-16.ckpt [e2ec4647] (huggingface),"Repo https://huggingface.co/Deltaadams/Hentai-Diffusion/tree/main
Supposedly will update weekly, so check the repo, it might be more current than this listing.
The pruned torrents below are with EMA weights removed.

This model was based on Waifu Diffusion 1.2, and trained on 150,000 images from R34 and gelbooru.
Focused training has been done of more obscure poses such as crouching and facing away from the viewer, along with a focus on improving hands.
Using tags from the site in prompts is recommended. Adding 1girl to the start of the prompt will help get better results.",model,huggingface,https://huggingface.co/Deltaadams/Hentai-Diffusion/resolve/main/HD-16.ckpt,,
Hentai Diffusion RD1412.ckpt [2140af02] [5b87f0e6] [4fdde306] (huggingface),"Repo https://huggingface.co/Deltaadams/Hentai-Diffusion/tree/main
Supposedly will update weekly, so check the repo, it might be more current than this listing.
The pruned torrents below are with EMA weights removed.

This model was based on Waifu Diffusion 1.2, and trained on 150,000 images from R34 and gelbooru.
Focused training has been done of more obscure poses such as crouching and facing away from the viewer, along with a focus on improving hands.
Using tags from the site in prompts is recommended. Adding 1girl to the start of the prompt will help get better results.",model,huggingface,"https://huggingface.co/Deltaadams/Hentai-Diffusion/resolve/main/RD1412.ckpt",,
Hentai Diffusion RD1212.ckpt [a1f5a67e] [37b5398c] [3b3459c8] (huggingface),"Repo https://huggingface.co/Deltaadams/Hentai-Diffusion/tree/main
Supposedly will update weekly, so check the repo, it might be more current than this listing.
The pruned torrents below are with EMA weights removed.

This model was based on Waifu Diffusion 1.2, and trained on 150,000 images from R34 and gelbooru.
Focused training has been done of more obscure poses such as crouching and facing away from the viewer, along with a focus on improving hands.
Using tags from the site in prompts is recommended. Adding 1girl to the start of the prompt will help get better results.",model,huggingface,https://huggingface.co/Deltaadams/Hentai-Diffusion/resolve/main/RD1212.ckpt,,
Bare Feet / Full Body b4_t16_noadd [03e33bb4] [2bd8166c] [9012c514] (torrent),"High quality labels only (the ""curated"" model).
Preview grid https://i.imgur.com/2sJGz3j.jpeg

A very WIP checkpoint focused on Bare Foot (BF) Full Body (FB) nude female images - best used if you are trying for accurate photorealistic feet or female genitalia, both of which normal SD struggles with
It is very much WIP
Extremely specialized, and lost a lot of general purpose capability and ability to stylize.",model,torrent,"magnet:?xt=urn:btih:9530a8a0b43f83366216ab853b4419aa2056da58&dn=bf_fb_v3_t4_b16_noadd-ema-pruned-fp16.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.skyts.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.0x.tf%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt.oiyo.tk%3a6969%2fannounce",,
